date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:28	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://omsaiholiday.in/robots.txt		(from )
20:53:31	231166/231166	---MCZ	200	added ('OK')	text/html	etag:c36c5591e4d135bcede63d3975429027	https://omsaiholiday.in/	C:/My%20Web%20Sites/om%20sai%20new%201/omsaiholiday.in/index.html	(from )
20:53:34	421/421	---MCZ	200	added ('OK')	application/manifest+json	etag:a9a1cd641a436afe63e370a8dc00e133	https://omsaiholiday.in/manifest.webmanifest	C:/My%20Web%20Sites/om%20sai%20new%201/omsaiholiday.in/manifest.webmanifest	(from https://omsaiholiday.in/)
20:53:36	62980/62980	---M--	200	added ('OK')	image/jpeg	etag:4145615109	https://img1.wsimg.com/isteam/ip/3daa5815-0fe6-4f9a-bbb0-261ebba05105/collage-from-picmyna%20(1).jpg	C:/My%20Web%20Sites/om%20sai%20new%201/img1.wsimg.com/isteam/ip/3daa5815-0fe6-4f9a-bbb0-261ebba05105/collage-from-picmyna%20(1).jpg	(from https://omsaiholiday.in/)
20:53:38	32918/32918	---MCZ	200	added ('OK')	application/javascript	etag:65b0f1326a22aeedfeb733cddedc3cdd	https://omsaiholiday.in/sw.js	C:/My%20Web%20Sites/om%20sai%20new%201/omsaiholiday.in/sw.js	(from https://omsaiholiday.in/)
20:53:40	62618/62618	---MCZ	200	added ('OK')	text/html	etag:ad747ece749bf883b293a53051f2e8cd	https://omsaiholiday.in/contact-us	C:/My%20Web%20Sites/om%20sai%20new%201/omsaiholiday.in/contact-us.html	(from https://omsaiholiday.in/)
20:53:42	54300/54300	---MCZ	200	added ('OK')	text/html	etag:64e3525ce6d5840bbb71962a72c59107	https://omsaiholiday.in/privacy-policy	C:/My%20Web%20Sites/om%20sai%20new%201/omsaiholiday.in/privacy-policy.html	(from https://omsaiholiday.in/)
20:53:46	60982/60982	---M-Z	200	added ('OK')	application/javascript	etag:%2229de647241bfc11137bbfacf83ca9c03%22	http://img1.wsimg.com/blobby/go/3daa5815-0fe6-4f9a-bbb0-261ebba05105/gpub/ba156af7d25db3a5/script.js	C:/My%20Web%20Sites/om%20sai%20new%201/img1.wsimg.com/blobby/go/3daa5815-0fe6-4f9a-bbb0-261ebba05105/gpub/ba156af7d25db3a5/script.js	(from https://omsaiholiday.in/)
20:53:47	32233/32233	---M-Z	200	added ('OK')	application/javascript	etag:%22ab56963daf81019c530a97d69f92543a%22	http://img1.wsimg.com/blobby/go/3daa5815-0fe6-4f9a-bbb0-261ebba05105/gpub/476a03d26797f100/script.js	C:/My%20Web%20Sites/om%20sai%20new%201/img1.wsimg.com/blobby/go/3daa5815-0fe6-4f9a-bbb0-261ebba05105/gpub/476a03d26797f100/script.js	(from https://omsaiholiday.in/)
20:53:47	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Mar%202023%2015:25:40%20GMT	http://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/My%20Web%20Sites/om%20sai%20new%201/img1.wsimg.com/traffic-assets/js/tccl.min.js	(from https://omsaiholiday.in/)
20:53:52	23333/23333	---M-Z	200	added ('OK')	application/javascript	etag:%2268ce6e61b03248cb51837d5faabda4ac%22	http://img1.wsimg.com/blobby/go/3daa5815-0fe6-4f9a-bbb0-261ebba05105/gpub/61901b897ddb988b/script.js	C:/My%20Web%20Sites/om%20sai%20new%201/img1.wsimg.com/blobby/go/3daa5815-0fe6-4f9a-bbb0-261ebba05105/gpub/61901b897ddb988b/script.js	(from https://omsaiholiday.in/contact-us)
20:53:53	60981/60981	---M-Z	200	added ('OK')	application/javascript	etag:%22fc0c7975ad769229083566cb5ec0f485%22	http://img1.wsimg.com/blobby/go/3daa5815-0fe6-4f9a-bbb0-261ebba05105/gpub/e60446e06e5e1189/script.js	C:/My%20Web%20Sites/om%20sai%20new%201/img1.wsimg.com/blobby/go/3daa5815-0fe6-4f9a-bbb0-261ebba05105/gpub/e60446e06e5e1189/script.js	(from https://omsaiholiday.in/contact-us)
20:53:54	328683/328683	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2005%20Mar%202023%2016:54:09%20GMT	https://img1.wsimg.com/poly/v3/polyfill.min.js?rum=0&unknown=polyfill&flags=gated&features=Intl.~locale.en-IN	C:/My%20Web%20Sites/om%20sai%20new%201/img1.wsimg.com/poly/v3/polyfill.min6ee5.js	(from https://omsaiholiday.in/)
20:53:56	315147/315147	---M-Z	200	added ('OK')	application/javascript	etag:%2299bc9aa0341f3d2e67dcc29cf926eada%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.30.4.js	C:/My%20Web%20Sites/om%20sai%20new%201/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.30.4.js	(from https://omsaiholiday.in/)
20:53:59	60981/60981	---M-Z	200	added ('OK')	application/javascript	etag:%22b3370014b6a8ae46d475cd351d0a823b%22	http://img1.wsimg.com/blobby/go/3daa5815-0fe6-4f9a-bbb0-261ebba05105/gpub/9313bb08064737c7/script.js	C:/My%20Web%20Sites/om%20sai%20new%201/img1.wsimg.com/blobby/go/3daa5815-0fe6-4f9a-bbb0-261ebba05105/gpub/9313bb08064737c7/script.js	(from https://omsaiholiday.in/privacy-policy)
20:54:01	23333/23333	---M-Z	200	added ('OK')	application/javascript	etag:%2252096b64b47641343dc203abe9891dc8%22	http://img1.wsimg.com/blobby/go/3daa5815-0fe6-4f9a-bbb0-261ebba05105/gpub/24a59281d945b6b1/script.js	C:/My%20Web%20Sites/om%20sai%20new%201/img1.wsimg.com/blobby/go/3daa5815-0fe6-4f9a-bbb0-261ebba05105/gpub/24a59281d945b6b1/script.js	(from https://omsaiholiday.in/privacy-policy)
